Episode,Avg length,Total prey reward,Avg prey reward,Total predator reward,Avg predator reward
1000,160,36.30560057410421,0.133852274130439,0.0,0.0
2000,174,48.13324991291175,0.1493453427193559,0.0,0.0
3000,205,66.538631763404,0.1670259266573826,0.0,0.0
4000,256,103.94514551310247,0.198624593518835,0.0,0.0
5000,275,126.47924274614714,0.2166325705115739,0.0,0.0
6000,314,165.0826995194621,0.2491100771276612,0.0,0.0
7000,338,186.0633128980124,0.2589600622661706,0.0,0.0
8000,345,205.33398775421435,0.2657244887341744,0.0,0.0
9000,343,201.15499436813357,0.2689766664963192,0.0,0.0
10000,344,198.2854257355663,0.2664518954009112,0.0,0.0
11000,348,200.3011498017977,0.2688667484144243,0.0,0.0
12000,357,212.38689936793745,0.2760424113788313,0.0,0.0
13000,354,216.0008872787065,0.2725076974662836,0.0,0.0
14000,361,217.49846154605217,0.2780959769494254,0.0,0.0
15000,358,223.6336990021848,0.2747956059336521,0.0,0.0
16000,366,226.3797877409535,0.2806621920663916,0.0,0.0
17000,373,239.64726109330925,0.2835539892165911,0.0,0.0
18000,371,235.10751847453213,0.2834456609136422,0.0,0.0
19000,375,247.134226518614,0.2831926488485317,0.0,0.0
20000,375,258.75987188471595,0.280050506968108,0.0,0.0
21000,385,263.51002727102406,0.2852644510120304,0.0,0.0
22000,376,252.3897197673231,0.2825800696509686,0.0,0.0
23000,387,276.6602440783579,0.2876687112121781,0.0,0.0
24000,385,281.6944580081099,0.2899634038925227,0.0,0.0
25000,387,282.3681241237624,0.2905029884981453,0.0,0.0
26000,401,301.36052871184233,0.2955452487544735,0.0,0.0
27000,392,292.7958559038347,0.2919390694628506,0.0,0.0
28000,389,291.41558882572167,0.2933039542676991,0.0,0.0
29000,400,320.0924340767473,0.2969299128901378,0.0,0.0
30000,398,317.3607173775197,0.2975475704625176,0.0,0.0
31000,413,352.25076908095883,0.3014072315854476,0.0,0.0
32000,408,348.0087238852935,0.3022131876833657,0.0,0.0
33000,404,347.45013890046846,0.2995221659331517,0.0,0.0
34000,408,368.4714800662565,0.3071805200358765,0.0,0.0
35000,408,367.2500779301735,0.3074320157012427,0.0,0.0
36000,417,389.3033843395965,0.3129555626051431,0.0,0.0
37000,427,413.4833975476223,0.3177076292888992,0.0,0.0
38000,418,389.02860778964975,0.3143080480264211,0.0,0.0
39000,428,407.2401786827788,0.3168712092764209,0.0,0.0
40000,431,429.1858644547103,0.3201113942192301,0.0,0.0
41000,429,449.7145030623121,0.3239273604476288,0.0,0.0
42000,428,456.6376941306448,0.3238505404493564,0.0,0.0
43000,438,494.4655401119628,0.3282826554309254,0.0,0.0
44000,433,459.14129248755694,0.324398552602078,0.0,0.0
45000,436,480.4413106109839,0.3310232200188915,0.0,0.0
46000,442,506.76683822188767,0.334637009318307,0.0,0.0
47000,442,485.9396075105024,0.3357381220412194,0.0,0.0
48000,442,516.2087767340374,0.3330358649877118,0.0,0.0
49000,449,543.3923185172539,0.340005269777649,0.0,0.0
50000,449,559.9653810893975,0.3409033105136067,0.0,0.0
51000,451,547.9388973222812,0.3420532115926514,0.0,0.0
52000,450,567.6217834457833,0.3456496500549493,0.0,0.0
53000,458,568.9741578480633,0.3481139183206855,0.0,0.0
54000,460,575.0909884163915,0.3517026911715053,0.0,0.0
55000,468,618.9328668766709,0.3551463637119803,0.0,0.0
56000,460,615.0476087731081,0.3512523301617436,0.0,0.0
