Episode,Avg length,Total prey reward,Avg prey reward,Total predator reward,Avg predator reward
1000,160,36.30560057410421,0.13385227413043901,0.0,0.0
2000,174,48.13324991291175,0.14934534271935596,0.0,0.0
3000,205,66.538631763404,0.16702592665738264,0.0,0.0
4000,256,103.94514551310247,0.198624593518835,0.0,0.0
5000,275,126.47924274614714,0.21663257051157395,0.0,0.0
6000,314,165.0826995194621,0.24911007712766128,0.0,0.0
7000,338,186.0633128980124,0.25896006226617063,0.0,0.0
8000,345,205.33398775421435,0.2657244887341744,0.0,0.0
9000,343,201.15499436813354,0.2689766664963192,0.0,0.0
10000,344,198.2854257355663,0.26645189540091124,0.0,0.0
11000,348,200.30114980179766,0.2688667484144243,0.0,0.0
12000,357,212.38689936793742,0.27604241137883134,0.0,0.0
13000,354,216.0008872787065,0.2725076974662836,0.0,0.0
14000,361,217.49846154605217,0.27809597694942545,0.0,0.0
15000,358,223.6336990021848,0.2747956059336521,0.0,0.0
16000,366,226.3797877409535,0.28066219206639165,0.0,0.0
17000,373,239.64726109330923,0.28355398921659114,0.0,0.0
18000,371,235.10751847453213,0.28344566091364226,0.0,0.0
19000,375,247.13422651861399,0.28319264884853174,0.0,0.0
20000,375,258.75987188471595,0.28005050696810807,0.0,0.0
21000,385,263.51002727102406,0.2852644510120304,0.0,0.0
22000,376,252.3897197673231,0.2825800696509686,0.0,0.0
23000,387,276.6602440783579,0.28766871121217813,0.0,0.0
24000,385,281.6944580081099,0.28996340389252273,0.0,0.0
25000,387,282.3681241237624,0.2905029884981453,0.0,0.0
26000,401,301.36052871184233,0.2955452487544735,0.0,0.0
27000,392,292.7958559038347,0.2919390694628506,0.0,0.0
28000,389,291.41558882572167,0.2933039542676991,0.0,0.0
29000,400,320.0924340767473,0.2969299128901378,0.0,0.0
30000,398,317.3607173775197,0.2975475704625176,0.0,0.0
31000,413,352.25076908095883,0.3014072315854476,0.0,0.0
32000,408,348.0087238852935,0.3022131876833657,0.0,0.0
33000,404,347.45013890046846,0.29952216593315173,0.0,0.0
34000,408,368.47148006625645,0.30718052003587654,0.0,0.0
35000,408,367.2500779301735,0.3074320157012427,0.0,0.0
36000,417,389.3033843395965,0.3129555626051431,0.0,0.0
37000,427,413.4833975476223,0.3177076292888992,0.0,0.0
38000,418,389.02860778964975,0.31430804802642115,0.0,0.0
39000,428,407.2401786827788,0.31687120927642093,0.0,0.0
40000,431,429.18586445471027,0.3201113942192301,0.0,0.0
41000,429,449.7145030623121,0.3239273604476288,0.0,0.0
